REFERENCE,SPECIES,ISLAND,POINT_Y,POINT_X,RESERVE,TYPE,LOCALITY,ELEV_FT,ACC,DATE_,YEAR,RECENT,CODE,M,F,NUM,COLLECTOR,COLLECTION,NOTES,RECHECKED,GROUP,SUBGROUP,Duplicate,WAYPOINT,ZONE,BAND,EASTING,NORTHING,N,W,ORDER_WITH,ORDER_OVER,TAXONOMIC_,BY_ENTERED,BY_NAME
KYK database,adiastola,Maui,20.93102549,-156.6106948,Puu Kukui Preserve,MLP,Puu Kukui,,,7/8/97,1997,Y,,,,,,,,,adiastola,adiastola,,,,,,,,,,,,1608,96
KYK database,adiastola,Maui,20.93478,-156.61817,Puu Kukui Preserve,MLP,Kaulalewelewe,,,1/25/66,1966,N,,,,,,,,,adiastola,adiastola,,,,,,,,,,,,1534,13
KYK database,adiastola,Maui,20.93478,-156.61817,Puu Kukui Preserve,MLP,Kaulalewelewe,,,6/16/66,1966,N,,,,,,,,,adiastola,adiastola,,,,,,,,,,,,1536,16
KYK database,adiastola,Maui,20.93478,-156.61817,Puu Kukui Preserve,MLP,Kaulalewelewe,,,1/23/67,1967,N,,,,,,,,,adiastola,adiastola,,,,,,,,,,,,1540,20
KYK database,adiastola,Maui,20.93478,-156.61817,Puu Kukui Preserve,MLP,Kaulalewelewe,,,7/15/69,1969,N,,,,,,,,,adiastola,adiastola,,,,,,,,,,,,1563,45
KYK database,adiastola,Maui,20.93478,-156.61817,Puu Kukui Preserve,MLP,Kaulalewelewe,,,7/5/73,1973,N,,,,,,,,,adiastola,adiastola,,,,,,,,,,,,1578,65
KYK database,adiastola,Maui,20.93478,-156.61817,Puu Kukui Preserve,MLP,Kaulalewelewe,,,9/26/73,1973,N,,,,,,,,,adiastola,adiastola,,,,,,,,,,,,1579,66
KYK database,adiastola,Maui,20.93478,-156.61817,Puu Kukui Preserve,MLP,Kaulalewelewe,,,5/23/78,1978,N,,,,,,,,,adiastola,adiastola,,,,,,,,,,,,1583,70
KYK database,adiastola,Maui,20.93478,-156.61817,Puu Kukui Preserve,MLP,Kaulalewelewe,,,7/14/83,1983,N,,,,,,,,,adiastola,adiastola,,,,,,,,,,,,1590,78
KYK database,adiastola,Maui,20.93478,-156.61817,Puu Kukui Preserve,MLP,Kaulalewelewe,,,9/29/87,1987,N,,,,,,,,,adiastola,adiastola,,,,,,,,,,,,1595,83
KYK database,adiastola,Maui,20.93478,-156.61817,Puu Kukui Preserve,MLP,Kaulalewelewe,,,6/9/88,1988,Y,,,,,,,,,adiastola,adiastola,,,,,,,,,,,,1597,85
